Date,y-1,y-2,y-3,y-4,y-5,y-6,y-7,y-8,y-9,y-10,y-11,y-12,y-13,y-14,y-15,y-16,y-17,y-18,y-19,y-20,y-21,y-22,y-23,y-24,y-25,y-26,y-27,y-28,y-29,y-30,y-31,y-32,y-33,y-34,y-35,y-36,y-37,y-38,y-39,y-40,y-41,y-42,y-43,y-44,y-45,y-46,y-47,y-48,y-49,y-50,window_mean_2,window_std_2,window_mean_3,window_std_3,window_mean_4,window_std_4,value
2002-08-05,0.777857,0.891429,0.953571,0.914286,0.876429,0.871429,1.036429,1.114286,1.146429,1.170714,1.16,1.149286,1.089286,1.126429,1.142857,1.207857,1.269286,1.163571,1.160714,1.175714,1.276429,1.214286,1.172857,1.027857,0.999286,0.943571,0.988571,0.964286,0.978571,0.979286,0.957143,0.951429,0.910714,0.922143,0.986429,1.082857,1.092857,1.153571,1.156429,1.118571,1.182143,1.147143,1.117857,1.128571,1.076429,1.071429,1.103571,1.157143,1.21,1.196429,0.7764284908771515,0.0020202248896726838,0.8147619962692261,0.06641094458924175,0.8494642525911331,0.08807532050929696,0.775
2002-08-06,0.775,0.777857,0.891429,0.953571,0.914286,0.876429,0.871429,1.036429,1.114286,1.146429,1.170714,1.16,1.149286,1.089286,1.126429,1.142857,1.207857,1.269286,1.163571,1.160714,1.175714,1.276429,1.214286,1.172857,1.027857,0.999286,0.943571,0.988571,0.964286,0.978571,0.979286,0.957143,0.951429,0.910714,0.922143,0.986429,1.082857,1.092857,1.153571,1.156429,1.118571,1.182143,1.147143,1.117857,1.128571,1.076429,1.071429,1.103571,1.157143,1.21,0.7678569853305817,0.01010171450424257,0.771190325419108,0.009184540619990767,0.8012499958276749,0.06058524846214595,0.760714
2002-08-07,0.760714,0.775,0.777857,0.891429,0.953571,0.914286,0.876429,0.871429,1.036429,1.114286,1.146429,1.170714,1.16,1.149286,1.089286,1.126429,1.142857,1.207857,1.269286,1.163571,1.160714,1.175714,1.276429,1.214286,1.172857,1.027857,0.999286,0.943571,0.988571,0.964286,0.978571,0.979286,0.957143,0.951429,0.910714,0.922143,0.986429,1.082857,1.092857,1.153571,1.156429,1.118571,1.182143,1.147143,1.117857,1.128571,1.076429,1.071429,1.103571,1.157143,0.7771424949169159,0.023233408094781825,0.7764283219973246,0.016475003937082414,0.7767854928970337,0.013470738189031804,0.793571
2002-08-08,0.793571,0.760714,0.775,0.777857,0.891429,0.953571,0.914286,0.876429,0.871429,1.036429,1.114286,1.146429,1.170714,1.16,1.149286,1.089286,1.126429,1.142857,1.207857,1.269286,1.163571,1.160714,1.175714,1.276429,1.214286,1.172857,1.027857,0.999286,0.943571,0.988571,0.964286,0.978571,0.979286,0.957143,0.951429,0.910714,0.922143,0.986429,1.082857,1.092857,1.153571,1.156429,1.118571,1.182143,1.147143,1.117857,1.128571,1.076429,1.071429,1.103571,0.7949999868869781,0.0020208992392488578,0.7835713227589926,0.019846538945590003,0.7814284861087799,0.01676177400268198,0.796429
2002-08-09,0.796429,0.793571,0.760714,0.775,0.777857,0.891429,0.953571,0.914286,0.876429,0.871429,1.036429,1.114286,1.146429,1.170714,1.16,1.149286,1.089286,1.126429,1.142857,1.207857,1.269286,1.163571,1.160714,1.175714,1.276429,1.214286,1.172857,1.027857,0.999286,0.943571,0.988571,0.964286,0.978571,0.979286,0.957143,0.951429,0.910714,0.922143,0.986429,1.082857,1.092857,1.153571,1.156429,1.118571,1.182143,1.147143,1.117857,1.128571,1.076429,1.071429,0.7917859852313995,0.006566183970057714,0.7923809885978699,0.004755993374990344,0.7844642400741577,0.016302738340717344,0.787143
2002-08-12,0.787143,0.796429,0.793571,0.760714,0.775,0.777857,0.891429,0.953571,0.914286,0.876429,0.871429,1.036429,1.114286,1.146429,1.170714,1.16,1.149286,1.089286,1.126429,1.142857,1.207857,1.269286,1.163571,1.160714,1.175714,1.276429,1.214286,1.172857,1.027857,0.999286,0.943571,0.988571,0.964286,0.978571,0.979286,0.957143,0.951429,0.910714,0.922143,0.986429,1.082857,1.092857,1.153571,1.156429,1.118571,1.182143,1.147143,1.117857,1.128571,1.076429,0.7721430063247681,0.02121318320510914,0.7802383303642273,0.02053295849989986,0.7835714966058731,0.01804184705852816,0.757143
2002-08-13,0.757143,0.787143,0.796429,0.793571,0.760714,0.775,0.777857,0.891429,0.953571,0.914286,0.876429,0.871429,1.036429,1.114286,1.146429,1.170714,1.16,1.149286,1.089286,1.126429,1.142857,1.207857,1.269286,1.163571,1.160714,1.175714,1.276429,1.214286,1.172857,1.027857,0.999286,0.943571,0.988571,0.964286,0.978571,0.979286,0.957143,0.951429,0.910714,0.922143,0.986429,1.082857,1.092857,1.153571,1.156429,1.118571,1.182143,1.147143,1.117857,1.128571,0.7650000154972076,0.01111146870086657,0.7723810076713562,0.015005649095257785,0.7783930003643036,0.01716651472314651,0.772857
2002-08-14,0.772857,0.757143,0.787143,0.796429,0.793571,0.760714,0.775,0.777857,0.891429,0.953571,0.914286,0.876429,0.871429,1.036429,1.114286,1.146429,1.170714,1.16,1.149286,1.089286,1.126429,1.142857,1.207857,1.269286,1.163571,1.160714,1.175714,1.276429,1.214286,1.172857,1.027857,0.999286,0.943571,0.988571,0.964286,0.978571,0.979286,0.957143,0.951429,0.910714,0.922143,0.986429,1.082857,1.092857,1.153571,1.156429,1.118571,1.182143,1.147143,1.117857,0.8032140135765076,0.04293128565537879,0.7878570159276327,0.04036161263347659,0.7876785099506378,0.03295705246405236,0.833571
2002-08-15,0.833571,0.772857,0.757143,0.787143,0.796429,0.793571,0.760714,0.775,0.777857,0.891429,0.953571,0.914286,0.876429,0.871429,1.036429,1.114286,1.146429,1.170714,1.16,1.149286,1.089286,1.126429,1.142857,1.207857,1.269286,1.163571,1.160714,1.175714,1.276429,1.214286,1.172857,1.027857,0.999286,0.943571,0.988571,0.964286,0.978571,0.979286,0.957143,0.951429,0.910714,0.922143,0.986429,1.082857,1.092857,1.153571,1.156429,1.118571,1.182143,1.147143,0.8582140207290649,0.03485047039038508,0.8297616839408875,0.05509885706019184,0.8116070181131363,0.057812544182285555,0.882857
2002-08-16,0.882857,0.833571,0.772857,0.757143,0.787143,0.796429,0.793571,0.760714,0.775,0.777857,0.891429,0.953571,0.914286,0.876429,0.871429,1.036429,1.114286,1.146429,1.170714,1.16,1.149286,1.089286,1.126429,1.142857,1.207857,1.269286,1.163571,1.160714,1.175714,1.276429,1.214286,1.172857,1.027857,0.999286,0.943571,0.988571,0.964286,0.978571,0.979286,0.957143,0.951429,0.910714,0.922143,0.986429,1.082857,1.092857,1.153571,1.156429,1.118571,1.182143,0.8978570103645325,0.02121318320510914,0.8764283458391825,0.04003201919547598,0.85053551197052,0.061238308464379124,0.912857
2002-08-19,0.912857,0.882857,0.833571,0.772857,0.757143,0.787143,0.796429,0.793571,0.760714,0.775,0.777857,0.891429,0.953571,0.914286,0.876429,0.871429,1.036429,1.114286,1.146429,1.170714,1.16,1.149286,1.089286,1.126429,1.142857,1.207857,1.269286,1.163571,1.160714,1.175714,1.276429,1.214286,1.172857,1.027857,0.999286,0.943571,0.988571,0.964286,0.978571,0.979286,0.957143,0.951429,0.910714,0.922143,0.986429,1.082857,1.092857,1.153571,1.156429,1.118571,0.9474999904632568,0.048992592527124505,0.9259523351987203,0.05092191476626303,0.9028570055961609,0.062147174246125855,0.982143
