Date,y-1,y-2,y-3,y-4,y-5,y-6,y-7,y-8,y-9,y-10,window_mean_2,window_std_2,window_mean_3,window_std_3,window_mean_4,window_std_4,value
2012-06-04,27.72,29.6,28.19,28.84,31.91,33.03,32.0,31.0,34.03,38.23,27.309999465942383,0.5798273447811046,28.073333104451496,1.384245139387043,28.102499961853027,1.1317357875819887,26.9
2012-06-05,26.9,27.72,29.6,28.19,28.84,31.91,33.03,32.0,31.0,34.03,26.385000228881836,0.7283191214546865,26.829999923706055,0.9269835794226438,27.522500038146973,1.5783191497124018,25.87
2012-06-06,25.87,26.9,27.72,29.6,28.19,28.84,31.91,33.03,32.0,31.0,26.34000015258789,0.664679403251965,26.52666664123535,0.570466903952917,26.824999809265137,0.7569449840799729,26.81
2012-06-07,26.81,25.87,26.9,27.72,29.6,28.19,28.84,31.91,33.03,32.0,26.559999465942383,0.3535533905932738,26.329999923706055,0.47031836907224744,26.47249984741211,0.4782166439485736,26.31
2012-06-08,26.31,26.81,25.87,26.9,27.72,29.6,28.19,28.84,31.91,33.03,26.704999923706055,0.5586150045129656,26.739999771118164,0.3996252364279997,26.522500038146973,0.5437751573615489,27.1
2012-06-11,27.1,26.31,26.81,25.87,26.9,27.72,29.6,28.19,28.84,31.91,27.05500030517578,0.06363971820272146,26.80666669209798,0.43247399577234014,26.807499885559082,0.35311747081044725,27.01
2012-06-12,27.01,27.1,26.31,26.81,25.87,26.9,27.72,29.6,28.19,28.84,27.204999923706055,0.2757712130790248,27.170000076293945,0.20420540868978418,26.954999923706055,0.46119427765679116,27.4
2012-06-13,27.4,27.01,27.1,26.31,26.81,25.87,26.9,27.72,29.6,28.19,27.335000038146973,0.09192328812662415,27.226666768391926,0.1985780387088998,27.195000171661377,0.17406871736652482,27.27
2012-06-14,27.27,27.4,27.01,27.1,26.31,26.81,25.87,26.9,27.72,29.6,27.780000686645508,0.721249240498075,27.65333366394043,0.5551881099073008,27.49250030517578,0.5558405365639474,28.29
2012-06-15,28.29,27.27,27.4,27.01,27.1,26.31,26.81,25.87,26.9,27.72,29.15000057220459,1.2162231781091668,28.52333386739095,1.3848223302109672,28.24250030517578,1.2625207125032865,30.01
2012-06-18,30.01,28.29,27.27,27.4,27.01,27.1,26.31,26.81,25.87,26.9,30.710000038146973,0.9899492239213361,29.90333366394043,1.5627321110151338,29.24500036239624,1.83349358081419,31.41
2012-06-19,31.41,30.01,28.29,27.27,27.4,27.01,27.1,26.31,26.81,25.87,31.65999984741211,0.3535533905932738,31.109999974568684,0.9848855671514988,30.40500020980835,1.623195940165804,31.91
2012-06-20,31.91,31.41,30.01,28.29,27.27,27.4,27.01,27.1,26.31,26.81,31.755000114440918,0.21920272453206707,31.640000025431316,0.2523885469623583,31.232500076293945,0.8406494433549773,31.6
2012-06-21,31.6,31.91,31.41,30.01,28.29,27.27,27.4,27.01,27.1,26.31,31.72000026702881,0.16970546564087313,31.78333346048991,0.16258306405070735,31.69000005722046,0.2290560305708163,31.84
2012-06-22,31.84,31.6,31.91,31.41,30.01,28.29,27.27,27.4,27.01,27.1,32.44499969482422,0.8555985578601294,32.16333325703939,0.7771952088306608,32.09999990463257,0.6470956002487207,33.05
2012-06-25,33.05,31.84,31.6,31.91,31.41,30.01,28.29,27.27,27.4,27.01,32.55500030517578,0.7000342028316314,32.31666692097982,0.6445404166023581,32.137500286102295,0.6366770227538082,32.06
2012-06-26,32.06,33.05,31.84,31.6,31.91,31.41,30.01,28.29,27.27,27.4,32.579999923706055,0.7353890024112979,32.73666636149088,0.5865420791539911,32.51249980926514,0.6560159903737042,33.1
2012-06-27,33.1,32.06,33.05,31.84,31.6,31.91,31.41,30.01,28.29,27.27,32.66499900817871,0.615182144360771,32.46333312988281,0.5578816315104045,32.609999656677246,0.5417861418606582,32.23
2012-06-28,32.23,33.1,32.06,33.05,31.84,31.6,31.91,31.41,30.01,28.29,31.795000076293945,0.615182144360771,32.22999954223633,0.8699989318847603,32.1875,0.7154184826717032,31.36
2012-06-29,31.36,32.23,33.1,32.06,33.05,31.84,31.6,31.91,31.41,30.01,31.230000495910645,0.18384792495240063,31.56333351135254,0.5918046360965925,31.947499752044678,0.9076471158001871,31.1
2012-07-02,31.1,31.36,32.23,33.1,32.06,33.05,31.84,31.6,31.91,31.41,30.9350004196167,0.2333451838435946,31.076667149861652,0.2956913505437959,31.365000247955322,0.6251662325729345,30.77
2012-07-03,30.77,31.1,31.36,32.23,33.1,32.06,33.05,31.84,31.6,31.91,30.985000610351562,0.3040561317020798,31.02333386739095,0.22501862455935473,31.107500553131104,0.2491820851364921,31.2
2012-07-05,31.2,30.77,31.1,31.36,32.23,33.1,32.06,33.05,31.84,31.6,31.335000038146973,0.19091780590901206,31.14666684468587,0.3530339637830144,31.135000228881836,0.28919386707448635,31.47
2012-07-06,31.47,31.2,30.77,31.1,31.36,32.23,33.1,32.06,33.05,31.84,31.59999942779541,0.18384792495240063,31.46666653951009,0.2650151072112414,31.292500019073486,0.41007061838675124,31.73
